category,term,rationale
accommodation,适度宽松,Explicit monetary policy stance
accommodation,灵活适度,Explicit flexibility and accommodation language
accommodation,精准有力,Explicit policy force language
accommodation,加大货币政策调控强度,Explicit increase in policy intensity
accommodation,降准,Reserve requirement easing instrument
accommodation,降息,Interest rate easing instrument
accommodation,流动性合理充裕,Explicit liquidity sufficiency language
restraint,不搞大水漫灌,Explicit rejection of indiscriminate easing
restraint,把好货币供给总闸门,Explicit aggregate money restraint
restraint,管好货币总闸门,Explicit aggregate money restraint variant
restraint,防止资金空转,Explicit restraint on financial circulation
restraint,防范资金空转,Explicit restraint on financial circulation variant
risk_control,防范化解金融风险,Explicit financial risk control
risk_control,守住不发生系统性金融风险的底线,Explicit systemic risk boundary
risk_control,房住不炒,Explicit property risk policy
risk_control,金融稳定,General financial stability mandate
fx_stability,保持人民币汇率在合理均衡水平上的基本稳定,Explicit exchange-rate stability objective
fx_stability,增强人民币汇率弹性,Explicit exchange-rate flexibility objective
fx_stability,防范汇率超调风险,Explicit exchange-rate overshooting risk
structural_support,结构性货币政策工具,Explicit structural policy instrument
structural_support,科技创新,Technology support target
structural_support,小微企业,Small-business support target
structural_support,绿色发展,Green development support target
structural_support,普惠金融,Inclusive finance support target
structural_support,设备更新,Equipment renewal support target
