record_id,expected_page_sha256,release_evidence_text,release_evidence_precision,value_evidence_text
pmi_2024_09,775167727ed3d668c2ff872f582fbae1be32049782cc3c72132e1eb5e2ad3da6,2024/09/30 09:30,minute,制造业采购经理指数（PMI）为49.8%
pmi_2024_10,208f2f44639d1858f9ee14586418f7a68bcadc76d681296f46a8de7da8adf019,2024/10/31 09:30,minute,制造业采购经理指数（PMI）为50.1%
pmi_2024_11,58f94d1be062d4ce9d298fdcbbe2ce38e551e38219d38939f40a6e54b3d3925b,2024-11-30 09:30,minute,制造业采购经理指数（PMI）为50.3%
pmi_2024_12,82f6ec8b2368cbe66ea7cb3d813c7ba1cb426512b7479a531df26b8999e02f02,2024/12/31 09:30,minute,制造业采购经理指数（PMI）为50.1%
cpi_2024_09,daa70d5e2a44af60736b510a084b58c62903b95f9dbe4450f4d725924162a01b,2024/10/13 09:30,minute,全国居民消费价格同比上涨0.4%
cpi_2024_10,384012d93bc45eaeb07837c2dd2793281a766aa879b1a2cacf331cdcc9ac28a1,2024/11/09 09:30,minute,全国居民消费价格同比上涨0.3%
cpi_2024_11,f2641365a27b4d37c97b4ea1a897aac87173f67cfa63e0c67d92fe69e192b2b6,2024/12/09 09:30,minute,全国居民消费价格同比上涨0.2%
cpi_2024_12,6a6d665091f0b657286e3fc5973dfb95758edf3a42fdf2e905b1325dec511b20,2025/01/09 09:30,minute,全国居民消费价格同比上涨0.1%
m2_2023_03,e934e15ac8eb159280742afbc6ae89341a4462a7dec1e4cd6fc1016f1386cf94,"4月11日，人民银行发布了2023年第一季度金融统计数据",date,"3月末，广义货币供应量同比增长12.7%"
m2_2023_11,3d5ff1cd071a9150b6eea9b70860700170ca962fa536d6641edf90304324e027,2023-12-13 17:01:00,minute,"11月末，广义货币（M2）余额291.2万亿元,同比增长10%"
m2_2024_06,f506cc512c8ec11a059e46f1dbc68fe4171d23b0dbfeb14aa0c5047061d728a3,2024-07-12 17:01:00,minute,"6月末，广义货币(M2)余额305.02万亿元,同比增长6.2%"
m2_2024_07,8658c76f6a2746ed12f3c570f5250bbabef62ba180ff042f336d3241f94be03b,2024-08-13 17:01:00,minute,"7月末，广义货币(M2)余额303.31万亿元,同比增长6.3%"
